Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
1_GATA2-Interval-Track.bed 8438 6256.2508142496 1.38322580950872e-213 335573 45250 5792330 3.79732723673632 3.70757261757099 3.88988489516312 0
1_GATA2_1-Interval-Track.bed 8438 6256.2508142496 1.38322580950872e-213 335573 45250 5792330 3.79732723673632 3.70757261757099 3.88988489516312 0
All_peaks.merged5.hg19.bed 35122 30782.7355084391 0 2055158 45250 5792330 6.39821751679474 6.25663502516159 6.54214623072658 0
All_peaks.narrowPeak.cleaned.hg19.merged.bed 35122 30782.7355084391 0 2055158 45250 5792330 6.39821751679474 6.25663502516159 6.54214623072658 0
CN8_hg38.cleaned.hg19.merged.bed 131 77.259816206723 1.17301732135606e-10 3181 45250 5792330 5.46871690126304 4.55398637916007 6.51712467751721 2.1172280256672e-51
CN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 18190 13611.9759985568 0 736574 45250 5792330 4.7056580879501 4.61718867506459 4.79506207217108 0
CN_all_peaks.overlap.Conserved.bed 3304 2014.04157045255 1.41634485010028e-196 102628 45250 5792330 4.47892501454227 4.31907730521113 4.64251194563573 0
CN_all_peaks.overlap.footprint.bed 2966 1968.39200809157 8.79775621424528e-129 79154 45250 5792330 5.22168091939859 5.02468911664001 5.42258828501317 0
CN_footprint.hg19.bed 2966 1969.56784168007 2.00715680104109e-128 79243 45250 5792330 5.21554803939191 5.01967979061543 5.4157178667855 0
CN_merged_cutsite_peaks.narrowPeak.hg19.bed 15244 10633.8828178847 0 595301 45250 5792330 4.52561344896343 4.43746651049933 4.61558043044407 0
CN_merged_footprint.dnase2tf.bed 300 295.165442038916 0.38614450997313 11488 45250 5792330 3.42166989897581 3.03968605964394 3.83919907684805 3.43461690613116e-69
CN_merged_footprint.dnase2tf.hg19.bed 775 524.447470517163 6.83069516959213e-31 26118 45250 5792330 3.93419625856223 3.65566832815442 4.22849008225152 5.37720474678201e-208
CTCF_Hoffman.bed 12067 10030.1183482809 1.38328130274416e-139 501185 45250 5792330 3.90880157135492 3.82761622240076 3.99285860731625 0
Coding_UCSC.bed 7719 5769.69152151146 2.09643876803833e-186 456072 45250 5792330 2.43064940157796 2.37111278116084 2.4913718804116 0
Conserved_LindbladToh.bed 14544 11800.0317958539 4.68590476019185e-226 662489 45250 5792330 3.72750729631511 3.65387984343526 3.80234027113153 0
DHS_peaks_Trynka.bed 35370 30366.5397688253 0 1864744 45250 5792330 7.66661407584136 7.49531635458215 7.84177032969777 0
DN_all_peaks.narrowPeak.cleaned.hg19.merged.bed 24275 18815.8725234063 0 1117488 45250 5792330 4.92682771280439 4.83532019678799 5.01974210273789 0
DN_all_peaks.overlap.Conserved.bed 5155 3300.03136591092 3.68270291119011e-260 167909 45250 5792330 4.41128852086343 4.28246334598473 4.54346119636753 0
DN_all_peaks.overlap.footprint.bed 3187 2296.23506766611 3.2728556190351e-92 94530 45250 5792330 4.69181561717261 4.52140789469023 4.86616904348639 0
DN_footprint.hg19.bed 3187 2297.36502421599 5.99459872626435e-92 94657 45250 5792330 4.68516662667913 4.51461561759785 4.86010193057421 0
DN_merged_cutsite_peaks.narrowPeak.hg19.bed 22526 16728.6840532494 0 953634 45250 5792330 5.12736338326966 5.03291410979331 5.22229767292299 0
DN_merged_footprint.dnase2tf.bed 1249 1083.91147896717 1.67716771112437e-08 42090 45250 5792330 3.96600733683444 3.74297015715874 4.19899184538945 0
DN_merged_footprint.dnase2tf.hg19.bed 3500 2280.03784189658 7.03475808686186e-163 102338 45250 5792330 4.79020513001885 4.62443812405135 4.96170307709677 0
DNaseI.bed 14498 11836.2863302262 5.6730088819082e-202 902029 45250 5792330 2.58133416687292 2.53039107629817 2.63313449561958 0
E081-DNase.macs2.narrowPeak.bed 31 35.3363295987402 0.801656847878678 2078 45250 5792330 1.92405155307893 1.30366392894467 2.74029353502875 0.000996978396533418
E8_TCM_D_48h.bed 20415 14516.2215484935 0 849201 45250 5792330 4.87833744707072 4.78813725860198 4.97057009766732 0
E8_TCM_T_48h.bed 18640 13075.7130773378 0 762212 45250 5792330 4.71378545737134 4.62571574085701 4.80409632668299 0
Enhancer_Andersson.bed 3427 2334.84186492997 1.50313353455646e-125 112570 45250 5792330 4.23273154284774 4.08442974272803 4.38511547932923 0
Enhancer_Hoffman.bed 17406 11929.8969865682 0 778118 45250 5792330 4.09801171670014 4.02008342494086 4.1763004231016 0
FAIRE.bed 6752 6551.86696660126 0.00159102166031862 289385 45250 5792330 3.39089737876538 3.30311050267355 3.48071516432525 0
FOSL2.bed 4023 2600.46751359686 1.47617693760745e-195 118377 45250 5792330 4.80719939414742 4.64968381509059 4.96773785018503 0
FOXO1_DeMayo.bed 4235 3115.50902650903 5.89707929050114e-104 161706 45250 5792330 3.66477852183055 3.54859119410601 3.78430073569098 0
FetalDHS_Trynka.bed 31405 25469.1561191517 0 1524103 45250 5792330 6.46504082969038 6.33619243783927 6.59533374618482 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.100418.bed 20902 17316.9555787534 4.94065645841247e-322 981359 45250 5792330 4.27838537474324 4.19872467515396 4.35947721672421 0
GA_all_peaks.narrowPeak.cleaned.hg19.merged.bed 24207 18732.5517462179 0 1150272 45250 5792330 4.7207123675336 4.63339460791726 4.8092941295564 0
GA_all_peaks.overlap.Conserved.bed 3309 2052.77616260461 6.29490723110593e-183 105331 45250 5792330 4.36540597632329 4.21020987407781 4.52526448202386 0
GA_merged_cutsite_peaks.narrowPeak.hg19.bed 22960 17223.8483652468 0 1033863 45250 5792330 4.82596704436455 4.73668050871352 4.91617650559721 0
GA_merged_footprint.dnase2tf.hg19.bed 4771 3159.43714037904 2.91692341411243e-206 153769 45250 5792330 4.42857147421159 4.29512420985783 4.56519118907022 0
GSM1820082_d27_fdr0.05.hot.bed 11161 7104.94489348275 0 383070 45250 5792330 4.73199815420916 4.62981378267973 4.83606123583346 0
GSM1820085_d411_fdr0.05.hot.bed 4124 2624.32783546989 1.64579086463985e-204 138295 45250 5792330 4.19499431988731 4.05989128915089 4.3338788198075 0
GSM1820087_d412_fdr0.05.hot.bed 7355 4730.53546625672 0 249856 45250 5792330 4.40566380328939 4.29473398296567 4.51860713684403 0
H3K27ac.bed 3708 2103.25974762438 6.51703802006082e-268 127754 45250 5792330 4.04614420668545 3.90973634447054 4.18604389337157 0
H3K27ac_Hnisz.bed 36379 31040.7160482102 0 3414829 45250 5792330 2.87508600179609 2.80881512396958 2.94310435935166 0
H3K27ac_PGC2.bed 35707 29962.7436935863 0 2864075 45250 5792330 3.86082276356692 3.77431310923805 3.95014182006341 0
H3K27me3.bed 868 560.870597827944 1.76117981254261e-37 38236 45250 5792330 2.98825805129856 2.78885987193478 3.19865024770452 9.60731459821261e-161
H3K4me1_peaks_Trynka.bed 37920 32722.4641676147 0 2456226 45250 5792330 7.12007998851189 6.94313362253351 7.30330480601296 0
H3K4me3.bed 5547 3456.08768759746 9.80966029941412e-296 256131 45250 5792330 3.06453346366721 2.97832039662409 3.15274744086925 0
H3K4me3_peaks_Trynka.bed 21872 16288.3220438552 0 930792 45250 5792330 4.98022311426057 4.88753006585352 5.07293589726419 0
H3K9ac_peaks_Trynka.bed 20512 14555.6278199998 0 908733 45250 5792330 4.53606269821837 4.45167226635185 4.62119794923615 0
Humanfrontcortex.bed 10575 6994.74605544713 0 381856 45250 5792330 4.41580066996508 4.31874508158135 4.51371762193722 0
Humanfrontcortex.hg38.bed 7430 6617.63119916277 4.21981397946232e-33 330636 45250 5792330 3.29681914308686 3.21463734484843 3.38078704741131 0
IPS_merged_footprint.dnase2tf.bed 1037 959.256895730698 0.00301248091656187 39227 45250 5792330 3.50594582281349 3.29098728324525 3.73207438243399 7.92987198836774e-240
IPS_merged_footprint.dnase2tf.hg19.bed 1504 990.823575091642 6.04847822382548e-72 38426 45250 5792330 5.31773052006053 5.04212248448783 5.60315352559593 0
Intron_UCSC.bed 26689 26843.6689293958 0.999541677444628 4336938 45250 5792330 0.479315705466422 0.470373523234386 0.488462462192937 0
NR2F2.bed 2810 2019.73034659227 1.93361404622599e-78 101875 45250 5792330 3.77505696437227 3.63065160091758 3.92371578895542 0
NSC_all_peaks.narrowPeak.cleaned.hg19.merged.bed 16401 12272.8995974346 0 655778 45250 5792330 4.54179794636846 4.4541784888924 4.6305735726694 0
NSC_all_peaks.overlap.Conserved.bed 2821 1724.28507761712 2.92749149392677e-163 90505 45250 5792330 4.29127922179332 4.12713367601052 4.46098211537032 0
NSC_all_peaks.overlap.footprint.bed 3988 2434.73583068864 2.35433040060768e-234 117862 45250 5792330 4.7817059581733 4.62481430975762 4.94185146642335 0
NSC_footprint.hg19.bed 17963 16754.1638583876 1.21731506848673e-43 795176 45250 5792330 4.2098234391163 4.13038946731285 4.2908122806655 0
NSC_footprint.hg19.s+.bed 11527 10548.6927789325 5.47847225912664e-36 471051 45250 5792330 3.93267036931715 3.84923283809901 4.01778398751264 0
NSC_footprint.hg19.s-.bed 11519 10748.5835348177 1.31852198973368e-23 477033 45250 5792330 3.87414463564941 3.7921061902077 3.95800884610278 0
NSC_merged_cutsite_peaks.narrowPeak.hg19.bed 13762 9631.62958765631 0 532537 45250 5792330 4.40490730886708 4.31626980739853 4.49547423631525 0
NSC_merged_footprint.dnase2tf.bed 318 282.810832742164 0.0100937406389609 10210 45250 5792330 4.1047288011914 3.65805583970374 4.59194180739643 2.75713218768769e-91
NSC_merged_footprint.dnase2tf.hg19.bed 514 356.654301186478 3.05591762837326e-19 17215 45250 5792330 3.94227717235088 3.60218324302472 4.306511576053 2.28883296895942e-139
Noonan_hNSC_50_peaks.bed 7552 4880.84918792253 0 242137 45250 5792330 4.70749196432123 4.5905462749673 4.82703800603043 0
